filename,number,datetime,text
audio_1@04-07-2023_10-06-31.ogg,1,2023-07-04 10:06:31,"Maria from YLABS is asking about the USD account. It means they probably want to pay in American dollars in USD. So what we can do is we can go to Google and check how much, I don't remember what was the exact price for that invoice for YLABS. So you can take whatever price is there and create or update an invoice. And in this invoice you can just go to Google and then type whatever money in Euro and then convert it to USD and then take whatever sum was there and update the invoice to include USD and on this invoice use the IBAN from Revolut. Yes, so I'm not sure which IBAN they have. Maybe it's not the right one because I used to have a, I still have a private Revolut account and previously they used it for paying us. So this time we need to use Revolut from the company and maybe this is what they used last time. But you can just include this on the invoice and then send them an updated version to them. So the new updated invoice should have a USD sum there converted from Euros and then the Revolut IBAN there."
audio_2@23-08-2023_13-35-55.ogg,2,2023-08-23 13:35:55,"Hey, I just added, I just closed one of the newsletter slots in September, please send them, please start the invoice process and the newsletter process with them because they ask how they can pay and how they can prepare the materials."
"audio_3@20-11-2023_15-54-31.ogg,audio_4@20-11-2023_15-55-06.ogg","3,4",2023-11-20 15:54:31,"So what I was going to write here is, no, we unfortunately cannot send the YouTube links in advance, only the link to our channel. And the reason for that is because the way YouTube and Zoom integrate is in Zoom when we start streaming, only then we find out what is the YouTube ID or YouTube URL. So potentially, we can send the link to our channel right now or five minutes before the event we start the stream, usually it's five to ten minutes before the event, then we can send the link. And if somebody from their team is around, then they can make the post. Otherwise, I don't know, maybe they can just post the link to the channel. But you can tell here that we will tag weights and biases when we make the announcement. We'll make the announcements on social media and they can just retweet them, repost them."
audio_5@27-11-2023_15-30-31.ogg,5,2023-11-27 15:30:31,"So, I know that right now for Luma we use square banners, and previously we used rectangular banners for Eventbrite, and the thing is that the Eventbrite banners we use do not fit well to YouTube because we have these black strips. So I wanted to ask you to coordinate with Valeria to update the template we have for the banners, for the rectangular banners, so instead of using the old Eventbrite banners we update them to fit the YouTube dimensions, YouTube thumbnails, so then when we create YouTube thumbnails we don't have these black strips. Yeah, please check with Valeria about that."
audio_6@09-12-2023_17-35-55.ogg,6,2023-12-09 17:35:55,"Hey, Francis, what would be convenient if you kept using the spreadsheet that you typically use, but then in addition to that spreadsheet, could send me a Google document where for each day you include a sum of total hours per day, and then also the sum for the entire week. So from Saturday till Friday, right? And then this way, like right now, this document is just too large. And it's very difficult to find things there. So then for summaries for statistics, I would check the spreadsheet. But for weekly reports, it would be convenient to use it in this form, right? Yeah."
audio_7@10-01-2024_14-23-20.ogg,7,2024-01-10 14:23:20,"Actually, I cannot find this event in our meetup group. I think we had it. Maybe we did not. I cannot find it. So what you can do is find, we had this recent event, introduction to Data Engineering Zoom Camp. Just copy that and replace it instead of join us for a QA session. Write that the course is starting soon and maybe adjust the wording. So what we will do in this session is we will discuss the content of the course and we will answer questions. So yeah, that's roughly it. So this is what you can mention in the details. You can just go ahead and create the event and then send me the details for checking. But I think the important thing is not what is inside but actually that we announce it and then we can iterate on the content. For the picture, you can just take the same picture as we had but instead of saying introduction to Data Engineering Zoom Camp, just write Data Engineering Zoom Camp 2024. Yeah, that's all."
audio_8@10-01-2024_18-02-57.ogg,8,2024-01-10 18:02:57,"So the reason we don't create a luma event, but create a meetup event is because we have a lot of followers on meetup So they will see on luma not so much yet. So I just want to have an extra Traffic source, let's say for the course. Yeah"
audio_9@15-01-2024_20-31-17.ogg,9,2024-01-15 20:31:17,"It just occurred to me, have we sent a template to the next week's sponsors? I just don't remember seeing it, maybe I missed it, but if we didn't, it would be good to send it to Weights and Biases."
audio_10@16-01-2024_23-48-58.ogg,10,2024-01-16 23:48:58,"Please set this up, and it should be the same link as we used for this week, yesterday, for the introduction. So, and Pink Matt, to find out what's his email, so you can set it up. You don't need to create any events, except, yeah, except you need to create an event in the Data Engineering Zoom Camp calendar. I don't know if you have access to that calendar. If you don't, let me know, and I will give you access to that calendar and other calendars from our courses. But at the very least, please just schedule it, and then we'll see what to do next."
"audio_11@17-01-2024_17-18-32.ogg,audio_12@17-01-2024_17-18-36.ogg","11,12",2024-01-17 17:18:32,I have added the event to the card. I have added the event to the calendar with Matt.
